_theoretical_quantile,_sample_quantile,_reference_quantile
-1.95996398,-15.00000000,-9.74452559
-1.43953147,-2.00000000,-7.12783694
-1.15034938,-1.80000000,-5.67385496
-0.93458929,-1.50000000,-4.58903231
-0.75541503,-1.20000000,-3.68815995
-0.59776013,-1.00000000,-2.89548505
-0.45376219,-0.80000000,-2.17147617
-0.31863936,-0.50000000,-1.49209054
-0.18911843,-0.20000000,-0.84087072
-0.06270678,0.00000000,-0.20528413
0.06270678,0.20000000,0.42528413
0.18911843,0.50000000,1.06087072
0.31863936,0.80000000,1.71209054
0.45376219,1.00000000,2.39147617
0.59776013,1.20000000,3.11548505
0.75541503,1.50000000,3.90815995
0.93458929,1.80000000,4.80903231
1.15034938,2.00000000,5.89385496
1.43953147,2.20000000,7.34783694
1.95996398,15.00000000,9.96452559
