_theoretical_quantile,_sample_quantile,_reference_quantile
-1.95996398,1.00000000,-1.09530330
-1.43953147,2.00000000,1.98361697
-1.15034938,3.00000000,3.69444129
-0.93458929,4.00000000,4.97089519
-0.75541503,5.00000000,6.03090443
-0.59776013,6.00000000,6.96360340
-0.45376219,7.00000000,7.81550668
-0.31863936,8.00000000,8.61490410
-0.18911843,9.00000000,9.38116030
-0.06270678,10.00000000,10.12902170
0.06270678,11.00000000,10.87097830
0.18911843,12.00000000,11.61883970
0.31863936,13.00000000,12.38509590
0.45376219,14.00000000,13.18449332
0.59776013,15.00000000,14.03639660
0.75541503,16.00000000,14.96909557
0.93458929,17.00000000,16.02910481
1.15034938,18.00000000,17.30555871
1.43953147,19.00000000,19.01638303
1.95996398,20.00000000,22.09530330
